customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
7590-VHVEG,DSL,0,1,0,0,0,0
5575-GNVDE,DSL,1,0,1,0,0,0
3668-QPYBK,DSL,1,1,0,0,0,0
7795-CFOCW,DSL,1,0,1,1,0,0
9237-HQITU,Fiber optic,0,0,0,0,0,0
9305-CDSKC,Fiber optic,0,0,1,0,1,1
1452-KIOVK,Fiber optic,0,1,0,0,1,0
6713-OKOMC,DSL,1,0,0,0,0,0
7892-POOKP,Fiber optic,0,0,1,1,1,1
6388-TABGU,DSL,1,1,0,0,0,0
9763-GRSKD,DSL,1,0,0,0,0,0
8091-TTVAX,Fiber optic,0,0,1,0,1,1
0280-XJGEX,Fiber optic,0,1,1,0,1,1
5129-JLPIS,Fiber optic,1,0,1,1,1,1
3655-SNQYZ,Fiber optic,1,1,1,1,1,1
9959-WOFKT,Fiber optic,1,0,1,0,1,1
4190-MFLUW,DSL,0,0,1,1,0,0
4183-MYFRB,Fiber optic,0,1,1,0,0,1
8779-QRDMV,DSL,0,0,1,0,0,1
3638-WEABW,DSL,0,1,0,1,0,0
6322-HRPFA,DSL,1,1,0,1,0,0
6865-JZNKO,DSL,1,1,0,0,0,0
6467-CHFZW,Fiber optic,0,1,0,0,1,1
8665-UTDHZ,DSL,0,1,0,0,0,0
5248-YGIJN,DSL,1,1,1,1,1,1
8773-HHUOZ,DSL,0,0,0,0,1,1
3841-NFECX,Fiber optic,1,1,1,1,0,0
4929-XIHVW,Fiber optic,0,0,1,0,1,1
6827-IEAUQ,DSL,1,1,1,1,0,0
3413-BMNZE,DSL,0,0,0,0,0,0
6234-RAAPL,Fiber optic,1,1,0,1,1,0
6047-YHPVI,Fiber optic,0,0,0,0,0,0
6572-ADKRS,Fiber optic,0,0,1,0,0,0
5380-WJKOV,Fiber optic,0,1,1,0,1,1
8168-UQWWF,Fiber optic,0,0,1,0,1,1
8865-TNMNX,DSL,0,1,0,0,0,0
9489-DEDVP,DSL,1,1,0,0,1,0
4671-VJLCL,DSL,1,1,1,1,1,0
4080-IIARD,DSL,1,1,0,1,1,0
3714-NTNFO,Fiber optic,0,0,0,0,0,1
5948-UJZLF,DSL,0,1,0,0,0,0
7760-OYPDY,Fiber optic,0,0,0,0,1,0
7639-LIAYI,DSL,1,0,0,1,1,1
2954-PIBKO,DSL,1,0,1,1,0,0
8012-SOUDQ,Fiber optic,0,1,0,0,1,0
9420-LOJKX,Fiber optic,1,1,0,0,1,1
6575-SUVOI,DSL,1,0,0,1,1,0
7495-OOKFY,Fiber optic,0,1,0,0,0,0
4667-QONEA,DSL,1,1,1,1,0,1
1658-BYGOY,Fiber optic,0,0,0,0,1,1
8769-KKTPH,Fiber optic,1,0,0,0,1,1
5067-XJQFU,Fiber optic,0,1,1,1,1,1
5954-BDFSG,Fiber optic,0,0,1,1,1,1
0434-CSFON,Fiber optic,0,0,1,0,1,1
1215-FIGMP,Fiber optic,0,1,0,0,1,0
0526-SXDJP,DSL,1,1,1,0,0,0
0557-ASKVU,DSL,0,0,1,1,0,0
5698-BQJOH,Fiber optic,0,0,0,0,1,1
5122-CYFXA,DSL,0,1,0,1,1,1
8627-ZYGSZ,Fiber optic,0,1,0,0,0,0
3410-YOQBQ,DSL,0,1,1,1,1,1
7410-OIEDU,Fiber optic,1,0,1,0,0,0
2273-QCKXA,DSL,0,0,0,1,0,0
1891-QRQSA,Fiber optic,1,0,1,1,1,1
5630-AHZIL,DSL,1,0,0,1,0,1
2673-CXQEU,Fiber optic,1,1,1,0,1,1
6416-JNVRK,DSL,0,0,0,0,0,1
5590-ZSKRV,DSL,1,1,0,0,0,0
0191-ZHSKZ,DSL,1,1,0,0,1,1
5919-TMRGD,Fiber optic,0,0,0,0,1,0
8108-UXRQN,DSL,1,0,0,0,1,1
9191-MYQKX,Fiber optic,0,0,1,0,0,0
9919-YLNNG,Fiber optic,0,1,1,1,1,1
4445-ZJNMU,Fiber optic,0,1,0,0,1,1
4808-YNLEU,DSL,1,0,0,0,1,0
3016-KSVCP,DSL,0,0,0,0,1,0
4767-HZZHQ,Fiber optic,0,1,1,0,0,0
2424-WVHPL,Fiber optic,0,0,0,1,0,0
7233-PAHHL,DSL,1,0,1,1,1,1
6067-NGCEU,Fiber optic,1,1,1,0,1,1
9848-JQJTX,Fiber optic,0,1,1,0,1,1
8637-XJIVR,Fiber optic,1,0,0,0,0,0
9803-FTJCG,DSL,1,1,0,1,0,0
4598-XLKNJ,Fiber optic,0,1,1,0,1,1
7123-WQUHX,Fiber optic,0,0,1,1,1,0
5386-THSLQ,DSL,0,1,1,0,1,0
3192-NQECA,Fiber optic,0,1,1,1,1,1
6180-YBIQI,DSL,0,0,0,0,0,0
6728-DKUCO,Fiber optic,1,1,0,0,1,1
9750-BOOHV,DSL,1,0,0,0,0,0
8597-CWYHH,Fiber optic,0,0,0,0,1,1
0486-HECZI,Fiber optic,1,1,0,0,1,0
4549-ZDQYY,DSL,1,0,1,1,0,0
5712-AHQNN,Fiber optic,0,1,1,0,1,0
4846-WHAFZ,Fiber optic,0,0,0,0,0,0
5256-SKJGO,DSL,0,1,0,1,1,1
3071-VBYPO,Fiber optic,1,1,0,0,1,0
9560-BBZXK,DSL,1,0,0,0,0,0
5299-RULOA,Fiber optic,1,0,0,0,1,1
9445-ZUEQE,Fiber optic,0,1,0,1,0,0
1091-SOZGA,Fiber optic,0,0,1,0,1,1
0404-SWRVG,Fiber optic,0,0,0,0,0,0
6497-TILVL,DSL,1,0,0,0,0,0
4622-YNKIJ,Fiber optic,1,0,0,1,1,0
4412-YLTKF,Fiber optic,0,0,1,0,0,0
2639-UGMAZ,DSL,1,1,0,0,1,1
2876-GZYZC,Fiber optic,0,0,0,0,0,1
6207-WIOLX,DSL,1,1,1,0,1,1
8587-XYZSF,DSL,0,0,0,1,0,0
3091-FYHKI,DSL,0,0,0,0,0,1
2372-HWUHI,DSL,0,0,0,0,0,0
7850-VWJUU,Fiber optic,1,0,0,0,0,0
0390-DCFDQ,Fiber optic,0,0,0,0,0,0
3146-MSEGF,DSL,1,1,1,1,1,1
4080-OGPJL,DSL,1,0,0,1,0,1
1095-WGNGG,Fiber optic,0,1,0,0,1,1
2636-SJDOU,Fiber optic,1,1,0,0,0,0
5716-EZXZN,Fiber optic,1,1,0,1,1,0
2135-RXIHG,DSL,0,0,0,0,0,0
6440-DKQGE,DSL,0,1,1,0,1,0
3466-BYAVD,DSL,0,1,1,1,0,1
3780-YVMFA,DSL,0,0,0,1,1,1
3874-EQOEP,Fiber optic,0,0,0,0,1,1
1679-JRFBR,Fiber optic,1,1,1,0,1,1
9073-ZZIAY,DSL,1,1,1,1,1,1
6551-GNYDG,Fiber optic,0,0,0,0,0,1
9167-APMXZ,Fiber optic,0,0,0,0,1,0
6371-NZYEG,DSL,1,0,1,0,1,0
8992-VONJD,DSL,1,1,0,0,0,0
0867-MKZVY,Fiber optic,1,0,0,0,0,0
4482-EWFMI,Fiber optic,0,0,0,0,0,0
4648-YPBTM,DSL,0,1,1,1,0,1
3376-BMGFE,Fiber optic,0,0,0,0,0,0
5997-OPVFA,DSL,1,1,1,1,1,1
3445-HXXGF,DSL,0,1,1,0,0,1
7654-YWJUF,Fiber optic,1,0,1,1,0,0
1875-QIVME,Fiber optic,0,0,1,1,1,1
6727-IOTLZ,DSL,0,1,1,1,1,1
0691-JVSYA,Fiber optic,0,0,1,0,1,1
2656-FMOKZ,Fiber optic,0,0,0,0,0,0
2070-FNEXE,Fiber optic,1,0,0,0,0,0
5947-SGKCL,Fiber optic,0,1,1,0,1,1
6317-YPKDH,DSL,0,1,0,0,0,0
6582-OIVSP,DSL,0,0,0,0,0,0
9367-WXLCH,Fiber optic,0,0,0,0,0,1
5524-KHNJP,DSL,1,0,1,0,1,1
1918-ZBFQJ,Fiber optic,0,1,1,0,0,0
1024-GUALD,DSL,0,0,0,0,0,0
4827-USJHP,DSL,0,1,0,0,0,0
8167-GJLRN,DSL,0,0,0,1,0,0
8017-UVSZU,DSL,0,1,0,0,0,0
7100-FQPRV,DSL,1,0,0,1,0,1
2472-OVKUP,Fiber optic,0,1,1,0,0,1
