customerID,MultipleLines
5575-GNVDE,0
3668-QPYBK,0
9237-HQITU,0
9305-CDSKC,1
1452-KIOVK,1
7892-POOKP,1
6388-TABGU,0
9763-GRSKD,0
7469-LKBCI,0
8091-TTVAX,1
0280-XJGEX,1
5129-JLPIS,0
3655-SNQYZ,1
8191-XWSZG,0
9959-WOFKT,1
4190-MFLUW,0
4183-MYFRB,0
1680-VDCWW,0
1066-JKSGK,0
3638-WEABW,1
6322-HRPFA,0
6865-JZNKO,0
6467-CHFZW,1
5248-YGIJN,1
8773-HHUOZ,0
3841-NFECX,1
4929-XIHVW,0
6827-IEAUQ,0
7310-EGVHZ,0
3413-BMNZE,0
6234-RAAPL,1
6047-YHPVI,0
6572-ADKRS,0
5380-WJKOV,1
8168-UQWWF,1
8865-TNMNX,0
9489-DEDVP,1
9867-JCZSP,0
4671-VJLCL,1
4080-IIARD,1
3714-NTNFO,1
5948-UJZLF,0
7760-OYPDY,0
7639-LIAYI,1
2954-PIBKO,1
8012-SOUDQ,1
9420-LOJKX,0
6575-SUVOI,1
7495-OOKFY,1
4667-QONEA,0
1658-BYGOY,1
8769-KKTPH,1
5067-XJQFU,1
3957-SQXML,1
5954-BDFSG,1
0434-CSFON,1
1215-FIGMP,1
0557-ASKVU,0
5698-BQJOH,1
5122-CYFXA,0
8627-ZYGSZ,1
3410-YOQBQ,0
3170-NMYVV,0
7410-OIEDU,0
2273-QCKXA,0
0731-EBJQB,0
1891-QRQSA,1
8028-PNXHQ,1
5630-AHZIL,0
2673-CXQEU,1
6416-JNVRK,0
5590-ZSKRV,0
0191-ZHSKZ,0
3887-PBQAO,1
5919-TMRGD,0
9191-MYQKX,0
9919-YLNNG,0
0318-ZOPWS,0
4445-ZJNMU,1
4808-YNLEU,0
1862-QRWPE,0
2796-NNUFI,0
4767-HZZHQ,0
2424-WVHPL,0
7233-PAHHL,1
6067-NGCEU,1
9848-JQJTX,1
8637-XJIVR,1
9803-FTJCG,1
0278-YXOOG,0
3212-KXOCR,0
4598-XLKNJ,0
6380-ARCEH,0
3679-XASPY,0
7123-WQUHX,1
3192-NQECA,1
6728-DKUCO,1
8597-CWYHH,1
2848-YXSMW,0
0486-HECZI,1
4549-ZDQYY,0
5712-AHQNN,0
4846-WHAFZ,1
3071-VBYPO,0
5299-RULOA,1
8402-OOOHJ,0
9445-ZUEQE,1
1091-SOZGA,1
2928-HLDBA,0
0404-SWRVG,1
6497-TILVL,0
7219-TLZHO,0
4622-YNKIJ,0
4412-YLTKF,1
6734-PSBAW,1
3930-ZGWVE,0
2876-GZYZC,1
8587-XYZSF,0
2372-HWUHI,0
7799-LGRDP,1
7850-VWJUU,0
3774-VBNXY,0
6217-KDYWC,0
0390-DCFDQ,0
3146-MSEGF,1
4080-OGPJL,1
1095-WGNGG,1
2636-SJDOU,1
1131-QQZEB,1
5716-EZXZN,1
6837-BJYDQ,0
2135-RXIHG,0
6440-DKQGE,0
3466-BYAVD,0
3780-YVMFA,0
3874-EQOEP,1
1679-JRFBR,1
9073-ZZIAY,0
3077-RSNTJ,0
6551-GNYDG,0
9167-APMXZ,1
2749-CTKAJ,0
6371-NZYEG,0
7554-NEWDD,1
8992-VONJD,0
0867-MKZVY,1
4482-EWFMI,0
4648-YPBTM,1
2907-ILJBN,0
6345-FZOQH,0
3376-BMGFE,0
5997-OPVFA,1
1159-WFSGR,0
7654-YWJUF,0
1875-QIVME,1
6727-IOTLZ,0
0691-JVSYA,0
5918-VUKWP,0
1744-JHKYS,1
2656-FMOKZ,1
2070-FNEXE,0
